id,name,team,age,height,games,points,rebounds,assists
0,Randy Livingston,HOU,22,193.04,64,3.9,1.5,2.4
1,Gaylon Nickerson,WAS,28,190.5,4,3.8,1.3,0.3
2,George Lynch,VAN,26,203.2,41,8.3,6.4,1.9
3,George McCloud,LAL,30,203.2,64,10.2,2.8,1.7
4,George Zidek,DEN,23,213.36,52,2.8,1.7,0.3
5,Gerald Wilkins,ORL,33,198.12,80,10.6,2.2,2.2
6,Gheorghe Muresan,WAS,26,231.14,73,10.6,6.6,0.4
7,Glen Rice,CHH,30,203.2,79,26.8,4,2
8,Glenn Robinson,MIL,24,200.66,80,21.1,6.3,3.1
9,Grant Hill,DET,24,203.2,80,21.4,9,7.3
10,Gary Trent,POR,22,203.2,82,10.8,5.2,1.1
11,Grant Long,DET,31,205.74,65,5,3.4,0.6
12,Greg Anthony,VAN,29,185.42,65,9.5,2.8,6.3
13,Greg Dreiling,DAL,33,215.9,40,2,1.9,0.3
14,Greg Foster,UTA,28,210.82,79,3.5,2.4,0.4
15,Greg Graham,SEA,26,193.04,28,3.3,0.5,0.4
16,Greg Minor,BOS,25,198.12,23,9.6,3.5,1.5
17,Greg Ostertag,UTA,24,218.44,77,7.3,7.3,0.4
18,Hakeem Olajuwon,HOU,34,213.36,78,23.2,9.2,3
19,Harvey Grant,WAS,31,205.74,78,4.1,3.3,0.9
20,Haywoode Workman,IND,31,187.96,4,5.5,1.8,2.8
21,Greg Anderson,SAS,33,208.28,82,3.9,5.5,0.4
22,Gary Payton,SEA,28,193.04,82,21.8,4.6,7.1
23,Gary Grant,MIA,32,190.5,28,3.9,1.4,1.6
24,Fred Roberts,DAL,36,208.28,12,1.8,0.8,0
25,Eldridge Recasner,ATL,29,193.04,71,5.7,1.6,1.3
26,Elliot Perry,MIL,28,182.88,82,6.9,1.5,3
27,Elmer Bennett,DEN,27,182.88,9,2.4,0.4,1.2
28,Elmore Spencer,SEA,27,213.36,1,0,0,0
29,Emanual Davis,HOU,28,195.58,13,5,1.7,2
30,Ennis Whatley,POR,34,190.5,3,1.3,1,1
31,Eric Leckner,VAN,31,210.82,20,1.7,1.8,0.3
32,Eric Mobley,VAN,27,210.82,28,2.6,2.1,0.5
33,Eric Montross,NJN,25,213.36,78,4.4,6.6,0.8
34,Eric Murdock,DEN,29,185.42,12,3.8,0.9,2
35,Eric Piatkowski,LAC,26,200.66,65,6,1.6,0.8
36,Eric Snow,SEA,24,190.5,67,3,1,2.4
37,Eric Williams,BOS,24,203.2,72,15,4.6,1.8
38,Erick Dampier,IND,21,210.82,72,5.1,4.1,0.6
39,Erick Strickland,DAL,23,190.5,28,10.6,3.2,2.4
40,Ervin Johnson,DEN,29,210.82,82,7.1,11.1,0.9
41,Evric Gray,NJN,27,200.66,5,2.6,0.6,0.4
42,Felton Spencer,GSW,29,213.36,73,5.1,5.7,0.3
43,Frank Brickowski,BOS,37,205.74,17,4.8,2,0.9
44,Frankie King,PHI,25,185.42,7,2.9,2,0.7
45,Fred Hoiberg,IND,24,193.04,47,4.8,1.7,0.9
46,Henry James,ATL,31,203.2,53,6.7,1.5,0.4
47,Elden Campbell,LAL,28,213.36,77,14.9,8,1.6
48,Herb Williams,NYK,39,210.82,21,1.9,1.5,0.2
49,Horace Grant,ORL,31,208.28,67,12.6,9,2.4
50,Jerome Williams,DET,24,205.74,33,1.5,1.5,0.2
51,Jerry Stackhouse,PHI,22,198.12,81,20.7,4.2,3.1
52,Jim Jackson,NJN,26,198.12,77,15.9,5.3,4.1
53,Jim McIlvaine,SEA,24,215.9,82,3.8,4,0.3
54,Jimmy Carruth,MIL,27,208.28,4,1.3,1,0
55,Jimmy King,DEN,23,195.58,2,3,1,1
56,Jimmy Oliver,TOR,27,195.58,4,2.8,1.3,0.3
57,Joe Courtney,SAS,27,203.2,9,2.8,1.8,0
58,Joe Dumars,DET,34,190.5,79,14.7,2.4,4
59,Jerome Kersey,LAL,35,200.66,70,6.8,5.2,1.3
60,Joe Kleine,NJN,35,213.36,59,2.8,3.4,0.6
61,Joe Stephens,HOU,24,200.66,2,1.5,1.5,0
62,Joe Wolf,MIL,32,210.82,56,1.7,2,0.4
63,John Crotty,MIA,27,187.96,48,4.8,1,2.1
64,John Long,TOR,40,195.58,32,4,1.3,0.7
65,John Starks,NYK,31,195.58,77,13.8,2.7,2.8
66,John Stockton,UTA,35,185.42,82,14.4,2.8,10.5
67,John Wallace,NYK,23,205.74,68,4.8,2.3,0.5
68,Johnny Newman,MIL,33,200.66,82,8.7,2.3,1.4
69,Jon Barry,ATL,27,195.58,58,4.9,1.7,2
70,Joe Smith,GSW,21,208.28,80,18.7,8.5,1.6
71,Jerome Allen,DEN,24,193.04,76,3,1.3,2
72,Jermaine O'Neal,POR,18,210.82,45,4.1,2.8,0.2
73,Jeff McInnis,DEN,22,193.04,13,5,0.5,1.4
74,Horacio Llamas,PHX,23,210.82,20,1.7,0.9,0.2
75,Hot Rod Williams,PHX,34,210.82,68,8,8.3,1.5
76,Howard Eisley,UTA,24,187.96,82,4.5,1,2.4
77,Hubert Davis,TOR,27,195.58,36,5,1.1,0.9
78,Ike Austin,MIA,27,208.28,82,9.7,5.8,1.2
79,Isaiah Rider,POR,26,195.58,76,16.1,4,2.6
80,Ivano Newbill,ATL,26,208.28,72,1.4,2.8,0.3
81,Jack Haley,NJN,33,208.28,20,2,1.6,0.3
82,Jalen Rose,IND,24,203.2,66,7.3,1.8,2.3
83,Jamal Mashburn,MIA,24,203.2,69,11.9,4.3,2.9
84,James Robinson,MIN,26,187.96,69,8.3,1.6,1.8
85,James Scott,MIA,25,198.12,8,0.1,0.8,0.4
86,Jamie Feick,SAS,22,203.2,41,3.7,5.2,0.6
87,Jamie Watson,DAL,25,200.66,23,3.4,2,1.4
88,Jaren Jackson,WAS,29,198.12,75,5,1.8,0.9
89,Jason Caffey,CHI,24,203.2,75,7.3,4,1.2
90,Jason Kidd,PHX,24,193.04,55,10.9,4.5,9
91,Jason Sasser,DAL,23,200.66,8,2.4,1,0.3
92,Jayson Williams,NJN,29,205.74,41,13.4,13.5,1.2
93,Jeff Grayer,SAC,31,195.58,25,3.6,1.5,1
94,Jeff Hornacek,UTA,34,193.04,82,14.5,2.9,4.4
95,Hersey Hawkins,SEA,30,190.5,82,13.9,3.9,3
96,Eddie Jones,LAL,25,198.12,80,17.2,4.1,3.4
97,Eddie Johnson,HOU,38,200.66,52,8.2,2.7,1
98,Ed Pinckney,MIA,34,205.74,27,2.4,2.4,0.2
99,Chris Jent,NYK,27,200.66,3,2,0.3,0.3
100,Chris Mills,CLE,27,200.66,80,13.4,6.2,2.5
101,Chris Morris,UTA,31,203.2,73,4.3,2.2,0.6
102,Chris Mullin,GSW,33,200.66,79,14.5,4,4.1
103,Chris Robinson,VAN,23,195.58,41,4.6,1.7,1.6
104,Chris Webber,WAS,24,208.28,72,20.1,10.3,4.6
105,Chris Whitney,WAS,25,182.88,82,5.2,1.3,2.2
106,Christian Laettner,ATL,27,210.82,82,18.1,8.8,2.7
107,Chucky Brown,MIL,29,203.2,70,2.9,2.1,0.4
108,Chris Gatling,NJN,29,208.28,47,19,7.9,0.6
109,Clar. Weatherspoon,PHI,26,200.66,82,12.2,8.3,1.7
110,Clifford Rozier,TOR,24,210.82,42,4.5,5.6,0.7
111,Clyde Drexler,HOU,35,200.66,62,18,6,5.7
112,Corie Blount,LAL,28,208.28,58,4.2,4.8,0.6
113,Corliss Williamson,SAC,23,200.66,79,11.6,4.1,1.6
114,Cory Alexander,SAS,24,185.42,80,7.2,1.5,3.2
115,Craig Ehlo,SEA,35,198.12,62,3.5,1.8,1.1
116,Cuonzo Martin,MIL,25,195.58,3,0,0.3,0.3
117,Dale Davis,IND,28,210.82,80,10.4,9.7,0.7
118,Dale Ellis,DEN,36,200.66,82,16.6,3.6,2
119,Clifford Robinson,POR,30,208.28,81,15.1,4,3.2
120,Chris Dudley,POR,32,210.82,81,3.9,7.3,0.5
121,Chris Childs,NYK,29,190.5,65,9.3,2.9,6.1
122,Chris Carr,MIN,23,198.12,55,6.1,2.1,0.9
123,Brian Evans,ORL,23,203.2,14,1.4,0.6,0.5
124,Brian Grant,SAC,25,205.74,24,10.5,5.9,1.2
125,Brian Shaw,ORL,31,198.12,77,7.2,2.5,4.1
126,Brooks Thompson,DEN,26,193.04,67,6.6,1.4,2.7
127,Bruce Bowen,MIA,26,200.66,1,0,0,0
128,Bryant Reeves,VAN,24,213.36,75,16.2,8.1,2.1
129,Bryant Stith,DEN,26,195.58,52,14.9,4.2,2.6
130,Bryon Russell,UTA,26,200.66,81,10.8,4.1,1.5
131,Buck Williams,NYK,37,203.2,74,6.3,5.4,0.7
132,Byron Scott,LAL,36,193.04,79,6.7,1.5,1.3
133,Calbert Cheaney,WAS,25,200.66,79,10.6,3.4,1.4
134,Carl Herrera,SAS,30,205.74,75,8,4.5,0.7
135,Carl Thomas,CLE,27,193.04,19,1.1,0.7,0.4
136,Carlos Rogers,TOR,26,210.82,56,9.8,5.4,0.7
137,Cedric Ceballos,PHX,27,200.66,50,14.6,6.6,1.3
138,Charles Barkley,HOU,34,198.12,53,19.2,13.5,4.7
139,Charles Jones,HOU,40,205.74,12,0.3,1.1,0.3
140,Charles Oakley,NYK,33,205.74,80,10.8,9.8,2.8
141,Charles Smith,SAS,31,208.28,19,4.6,3.4,0.7
142,Charlie Ward,NYK,26,187.96,79,5.2,2.8,4.1
143,Cherokee Parks,MIN,24,210.82,76,3.3,2.6,0.4
144,Damon Stoudamire,TOR,23,177.8,81,20.2,4.1,8.8
145,Dan Majerle,MIA,31,198.12,36,10.8,4.5,3.2
146,Dan Schayes,ORL,38,210.82,45,3,2.8,0.3
147,Dana Barros,BOS,30,180.34,24,12.5,2,3.4
148,Dexter Boney,PHX,27,193.04,8,2.4,0.8,0
149,Dickey Simpkins,CHI,25,205.74,48,1.9,1.9,0.6
150,Dikembe Mutombo,ATL,31,218.44,80,13.3,11.6,1.4
151,Dino Radja,BOS,30,210.82,25,14,8.4,1.9
152,Dominique Wilkins,SAS,37,203.2,63,18.2,6.4,1.9
153,Don MacLean,PHI,27,208.28,37,10.9,3.8,1
154,Don Reid,DET,23,203.2,47,2.8,2.1,0.3
155,Donald Royal,CHH,31,203.2,62,3.5,2.5,0.4
156,Donald Whiteside,TOR,28,177.8,27,2.2,0.4,1.3
157,Donnie Boyce,ATL,23,195.58,22,2.5,0.7,0.6
158,Donny Marshall,CLE,24,200.66,56,3.1,1.3,0.4
159,Dontonio Wingfield,POR,23,203.2,47,4.5,2.9,1
160,Donyell Marshall,GSW,24,205.74,61,7.3,4.5,0.9
161,Doug Christie,TOR,27,198.12,81,14.5,5.3,3.9
162,Doug Overton,PHI,27,190.5,61,3.6,1.1,1.7
163,Doug West,MIN,30,198.12,68,7.8,2.2,1.7
164,Duane Causwell,SAC,29,213.36,46,2.6,2.8,0.4
165,Duane Ferrell,IND,32,200.66,62,6.4,2.3,1.1
166,Dwayne Schintzius,LAC,28,215.9,15,2.3,1.5,0.3
167,Earl Cureton,TOR,39,205.74,9,0.8,1,0.4
